 Time in recording [s],#192_F_Querlnk_hl_mR [kN]
1.172,1.68463
1.174,1.6978
1.176,1.70942
1.178,1.72105
1.18,1.73267
1.182,1.74584
1.184,1.75979
1.186,1.77606
1.188,1.79311
1.19,1.81171
1.192,1.83108
1.194,1.84968
1.196,1.86828
1.198,1.8861
1.2,1.90237
1.202,1.91787
1.204,1.93259
1.206,1.94809
1.208,1.96436
1.21,1.98141
1.212,2.00001
1.214,2.02016
1.216,2.04185
1.218,2.06433
1.22,2.08757
1.222,2.11005
1.224,2.13174
1.226,2.15344
1.228,2.17436
1.23,2.19528
1.232,2.21621
1.234,2.23868
1.236,2.26115
1.238,2.28595
1.24,2.31152
1.242,2.33864
1.244,2.36731
1.246,2.39598
1.248,2.42543
1.25,2.4541
1.252,2.482
1.254,2.50989
1.256,2.53624
1.258,2.56181
1.26,2.58738
1.262,2.61218
1.264,2.63698
1.266,2.66177
1.268,2.68734
1.27,2.71369
1.272,2.74081
1.274,2.76948
1.276,2.79893
1.278,2.82915
1.28,2.86015
1.282,2.89114
1.284,2.92214
1.286,2.95158
1.288,2.98026
1.29,3.00738
1.292,3.03295
1.294,3.05697
1.296,3.07944
1.298,3.10114
1.3,3.12284
1.302,3.14531
1.304,3.16856
1.306,3.19413
1.308,3.22047
1.31,3.24914
1.312,3.27782
1.314,3.30726
1.316,3.33516
1.318,3.36151
1.32,3.38553
1.322,3.40567
1.324,3.42272
1.326,3.43589
1.328,3.44674
1.33,3.45527
1.332,3.46224
1.334,3.46922
1.336,3.47696
1.338,3.48549
1.34,3.49634
1.342,3.50951
1.344,3.52346
1.346,3.53818
1.348,3.55213
1.35,3.56375
1.352,3.57305
1.354,3.57925
1.356,3.58003
1.358,3.5777
1.36,3.5715
1.362,3.56375
1.364,3.55445
1.366,3.54671
1.368,3.54128
1.37,3.53896
1.372,3.54128
1.374,3.54593
1.376,3.55368
1.378,3.56143
1.38,3.5684
1.382,3.57073
1.384,3.5684
1.386,3.5591
1.388,3.54283
1.39,3.52036
1.392,3.49324
1.394,3.46457
1.396,3.43589
1.398,3.4111
1.4,3.39018
1.402,3.37545
1.404,3.36693
1.406,3.36305
1.408,3.36151
1.41,3.36073
1.412,3.35841
1.414,3.35221
1.416,3.34058
1.418,3.32431
1.42,3.30339
1.422,3.27859
1.424,3.25302
1.426,3.22745
1.428,3.20343
1.43,3.18095
1.432,3.16158
1.434,3.14298
1.436,3.12439
1.438,3.10579
1.44,3.08564
1.442,3.06239
1.444,3.0376
1.446,3.01125
1.448,2.9849
1.45,2.96011
1.452,2.93764
1.454,2.91904
1.456,2.90354
1.458,2.89192
1.46,2.88339
1.462,2.87564
1.464,2.8679
1.466,2.85937
1.468,2.84852
1.47,2.8369
1.472,2.8245
1.474,2.8121
1.476,2.7997
1.478,2.78963
1.48,2.78111
1.482,2.77413
1.484,2.76871
1.486,2.76406
1.488,2.75786
1.49,2.75089
1.492,2.74236
1.494,2.73229
1.496,2.72144
1.498,2.71214
1.5,2.70517
1.502,2.70207
1.504,2.70284
1.506,2.70827
1.508,2.71757
1.51,2.72841
1.512,2.73926
1.514,2.74934
1.516,2.75631
1.518,2.76018
1.52,2.76096
1.522,2.76096
1.524,2.76096
1.526,2.76406
1.528,2.77103
1.53,2.78421
1.532,2.80358
1.534,2.82683
1.536,2.85395
1.538,2.88262
1.54,2.90896
1.542,2.93144
1.544,2.94926
1.546,2.96166
1.548,2.96941
1.55,2.97328
1.552,2.97638
1.554,2.97948
1.556,2.98568
1.558,2.9942
1.56,3.00583
1.562,3.01978
1.564,3.0345
1.566,3.04845
1.568,3.05929
1.57,3.06704
1.572,3.07169
1.574,3.07324
1.576,3.07324
1.578,3.07324
1.58,3.07479
1.582,3.07867
1.584,3.08564
1.586,3.09572
1.588,3.10734
1.59,3.11896
1.592,3.12904
1.594,3.13678
1.596,3.14066
1.598,3.14143
1.6,3.13988
1.602,3.13601
1.604,3.13214
1.606,3.12981
1.608,3.12981
1.61,3.13214
1.612,3.13756
1.614,3.14453
1.616,3.15306
1.618,3.16081
1.62,3.16778
1.622,3.17398
1.624,3.17785
1.626,3.18173
1.628,3.18483
1.63,3.18948
1.632,3.1949
1.634,3.20343
1.636,3.2135
1.638,3.22512
1.64,3.2383
1.642,3.25147
1.644,3.26387
1.646,3.27627
1.648,3.28789
1.65,3.29874
1.652,3.31036
1.654,3.32199
1.656,3.33516
1.658,3.34988
1.66,3.36538
1.662,3.38088
1.664,3.39638
1.666,3.4111
1.668,3.42427
1.67,3.43589
1.672,3.44674
1.674,3.45682
1.676,3.46689
1.678,3.47851
1.68,3.49169
1.682,3.50719
1.684,3.52423
1.686,3.54206
1.688,3.5591
1.69,3.57538
1.692,3.58855
1.694,3.5994
1.696,3.60715
1.698,3.61257
1.7,3.61722
1.702,3.62187
1.704,3.62729
1.706,3.63427
1.708,3.64357
1.71,3.65364
1.712,3.66371
1.714,3.67224
1.716,3.67766
1.718,3.67921
1.72,3.67534
1.722,3.66759
1.724,3.65597
1.726,3.64202
1.728,3.62729
1.73,3.6149
1.732,3.60405
1.734,3.5963
1.736,3.59165
1.738,3.58932
1.74,3.587
1.742,3.58545
1.744,3.58313
1.746,3.58003
1.748,3.57538
1.75,3.5715
1.752,3.5684
1.754,3.5684
1.756,3.57073
1.758,3.5777
1.76,3.58777
1.762,3.60095
1.764,3.61412
1.766,3.62729
1.768,3.63814
1.77,3.64589
1.772,3.64977
1.774,3.64977
1.776,3.64822
1.778,3.64434
1.78,3.64047
1.782,3.63737
1.784,3.63582
1.786,3.63427
1.788,3.63427
1.79,3.63272
1.792,3.63117
1.794,3.62729
